Date,Open,High,Low,Close,Volume,SMA_14,EMA_26,EMA_12,MACD,MACDs,ATR,OBV,Subjectivity,Polarity,sentiment,negative,positive,neutral
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,5706939904,10156.25795200893,10134.177741170564,10078.06461961775,-56.113121552814846,-174.03308731345388,953.6195348324968,129049477576.0,0.4416666666666666,0.2208333333333333,0.7788,0.021,0.087,0.892
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,7287690240,10259.12437220982,10151.40162666256,10122.470092801555,-28.9315338610013,-145.01277662296334,955.0231060051756,136337167816.0,0.4466666666666666,0.0099999999999999,-0.6597,0.08,0.037,0.883
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,6966179840,10411.073660714286,10193.934810567183,10215.259249197472,21.32443863028675,-111.74533357231331,931.9786263351632,143303347656.0,0.5185064935064936,0.0016233766233766,-0.6705,0.073,0.034,0.892
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,6936189952,10475.592982700891,10209.043372052947,10243.357886340167,34.31451428721812,-82.53336400040703,915.1730241192586,136367157704.0,0.4590909090909091,0.0393939393939393,0.4939,0.038,0.093,0.869
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0,7317279744,10531.635811941964,10264.003122271248,10352.225903826296,88.22278155504682,-48.38213488931626,899.7749230660972,143684437448.0,0.3349999999999999,-0.0833333333333333,-0.1543,0.097,0.081,0.822
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625,7620590080,10592.52866908482,10324.9214384456,10465.175824872247,140.25438642664994,-10.654830626123022,859.7124564631617,151305027528.0,0.6416666666666666,0.2833333333333334,0.7845,0.097,0.161,0.743
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,6690570240,10619.457240513391,10411.201346361666,10622.794958786131,211.5936124244672,33.79485798399502,835.8615527649002,157995597768.0,0.4462121212121213,0.0901515151515151,0.9209,0.057,0.155,0.788
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375,6084149760,10688.08579799107,10492.786402881173,10759.687981953652,266.90157907247885,80.41620220169179,803.050013281693,164079747528.0,0.45375,-0.038125,0.9501,0.02,0.15,0.83
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,6468539904,10712.942940848214,10572.824432644604,10884.859031605012,312.0345989604084,126.73988155343513,764.2749565294293,170548287432.0,0.2571428571428571,-0.0785714285714285,-0.8807,0.158,0.045,0.798
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,6832169984,10668.385811941964,10588.163392495004,10868.71154837732,280.54815588231577,157.50153641921125,772.4696024916129,163716117448.0,0.5,-0.0999999999999999,-0.9666,0.215,0.027,0.758
