Date,Open,High,Low,Close,Volume,SMA_14,EMA_26,EMA_12,MACD,MACDs,ATR,OBV
2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,8036550,321.1083548409598,331.2831912819109,320.5499434319313,-10.735773366930857,-11.07748647987614,11.291673472314196,-157728482.0
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,320.9075709751674,330.07940029358065,319.70103104847317,-10.380707678738304,-10.938130719648573,10.647321064004458,-149867832.0
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,317.4165714808873,326.44996328905034,313.75964176908064,-12.692486729533073,-11.289001921625474,12.320785547333804,-182922232.0
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,55629100,313.3702872140067,321.8384850694332,306.13431339294806,-15.706176494433691,-12.172436836187117,13.556685262160961,-238551332.0
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,43962800,309.2694309779576,318.3300046215817,301.26349579763877,-17.06836513201722,-13.151622495353138,13.598791027614766,-194588532.0
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,23245700,305.8135027204241,315.94918912082215,298.9443418843602,-17.006566036138167,-13.922611203510145,13.688686770299563,-171342832.0
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,24866800,303.79943193708147,314.34828663892677,298.2355209198793,-16.114357196763024,-14.360960402160723,13.830600679494786,-146476032.0
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,19982500,301.25236075265065,312.0520431118535,295.9452867819652,-16.108229917432823,-14.710414305215142,13.71138868221667,-166458532.0
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,18718600,298.57264491489957,310.4487798814905,295.0933948927326,-15.356749419187906,-14.839681328009696,13.487743298241647,-147739932.0
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,15264300,295.63928658621654,307.8078324821382,291.97071721542517,-15.838378626122392,-15.039420787632237,13.698802632023893,-163004232.0
2015-01-11,274.6080017089844,279.63800048828125,265.03900146484375,265.6600036621094,18200800,291.95507158551897,304.685771088062,287.92291513029966,-16.764025733216386,-15.384341776749068,13.76311425562903,-181205032.0
2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,18880300,288.74978419712613,301.95319471044513,284.82646510875117,-17.127812725610966,-15.733035966521449,13.280165438866185,-162324732.0
2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,225.86099243164062,72843904,282.6872122628348,296.31673528238554,275.7548539276572,-20.562884245971873,-16.699005622411534,15.787053118222664,-235168636.0
2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,97638704,272.53792681012834,287.5601620634067,260.73149129665944,-26.829599368674167,-18.72512437166406,18.542028116349652,-332807340.0
2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,81773504,265.08042689732144,281.8034088839414,252.90264558034644,-28.90162311928313,-20.760424121187874,20.94435594406639,-251033836.0
2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,38421000,257.4422116960798,276.3436749015806,246.00946935599626,-30.335001670450822,-22.675339631040465,21.00691044954851,-289454836.0
2015-01-17,207.83399963378906,211.7310028076172,194.875,199.25999450683594,23469700,251.5977826799665,270.63377265011803,238.81724245612543,-31.81726734599465,-24.503725174031302,20.71038192812272,-312924536.0
2015-01-18,200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,30085100,247.7509253365653,266.1674935291168,234.43597508081405,-31.732200995900996,-25.949420338405243,20.958882734367638,-282839436.0
2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164062,18658300,243.49285343715124,262.36701196634084,231.42443928863352,-30.943204665757236,-26.948177203875645,20.133878553447392,-264181136.0
2015-01-20,212.90699768066406,215.24099731445312,205.1529998779297,211.31500244140625,24051100,238.14471108572823,258.5853816311605,228.33067977367546,-30.255287031210287,-27.609599169342577,19.41624756846235,-288232236.0
2015-01-21,211.3780059814453,227.78799438476562,211.21200561523438,226.89700317382812,29924600,233.32756805419922,256.2380943380248,228.11011414292972,-28.12852202228413,-27.71338373993089,19.213354075173182,-258307636.0
2015-01-22,227.32200622558594,237.0189971923828,226.4340057373047,233.406005859375,33544600,229.76021139962333,254.54682852479147,228.92486671469055,-25.62246350165978,-27.295199692276668,18.596992065191845,-224763036.0
2015-01-23,233.51699829101562,234.84500122070312,225.1959991455078,232.87899780273438,24621700,225.65099770682198,252.9418040268613,229.5331945743896,-23.40907398145353,-26.51797455011204,17.95780139520985,-249384736.0
2015-01-24,232.6999969482422,248.2100067138672,230.02200317382812,247.8470001220703,24782500,223.726069859096,252.5644111450249,232.35070312018664,-20.214138144063384,-25.25720726890231,17.974245564833325,-224602236.0
2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,253.71800231933594,33582700,222.8730697631836,252.649862343122,235.63797992005576,-17.012280681436664,-23.608221951409185,17.489196681887265,-191019536.0
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,106794000,223.2785699026925,254.19231638758404,241.458751000564,-12.733934144625408,-21.433364390052432,20.21627700018349,-84225536.0
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,44399000,225.96528516496932,254.8799230332086,244.84586717024888,-10.03439730506426,-19.153570973054798,20.545633741153885,-128624536.0
2015-01-28,263.35101318359375,266.5350036621094,227.04600524902344,233.9149932861328,44352200,229.9518563406808,253.32696527416593,243.16419426500028,-10.163087159158692,-17.355474210275577,21.898802141024404,-172976736.0
